,Unnamed: 0,date,username,name,tweet,urls,retweets_count,likes_count,hashtags,id
15,15,2020-08-11,ireneisbaebae,💚❤REFERRAL HUNTER,P2P lending Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 ATAU langsung klik :  https://koinworks.com/invite/a63694  ❤❤,['https://koinworks.com/invite/a63694'],0,0,[],a3994328-59f1-49e4-9581-0e4386666f88
16,16,2020-08-11,ireneisbaebae,💚❤REFERRAL HUNTER,Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 !! langsung klik :  https://koinworks.com/invite/a63694  ❤❤ #koinworks,['https://koinworks.com/invite/a63694'],0,0,['#koinworks'],2a204c39-863a-4209-85de-677931f0ebdb
17,17,2020-08-10,ireneisbaebae,💚❤REFERRAL HUNTER,P2P lending Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 ATAU langsung klik :  https://koinworks.com/invite/a63694  ❤❤,['https://koinworks.com/invite/a63694'],0,0,[],54515189-a83c-46c1-ad44-1be53c82339f
18,18,2020-08-10,andifa,AndiFa,"ada yang DM gitu juga tapi ya udah, udah tanem investasi yang ga harus kembali secepatnya. Giving them benefit of doubt...",[],0,0,[],de5cf892-a214-47a1-9467-3e2b7958e448
19,19,2020-08-10,ireneisbaebae,💚❤REFERRAL HUNTER,Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 !! langsung klik :  https://koinworks.com/invite/a63694  ❤❤ #koinworks,['https://koinworks.com/invite/a63694'],0,0,['#koinworks'],a361e76c-7876-44b7-babd-fe34d1384541
20,20,2020-08-10,arumst,Arum,"Pengalaman pribadi sbg pendana dr sejak 2016. 
Ga pengen nerusin.
Gegara ada case peminjam ngubah tenor, dan ga ada notif dari koinworks. Ya udah, ga ada opsi lain, selain duit nyangkut  smp 24bln dg segala resiko. 
Dr 3bln, tiba2 brubah 24bln! 😖😭",[],0,0,[],01aaa031-a0b2-48d8-9dc5-21aa222e543d
21,21,2020-08-10,wawanrescue,Wawan Slamet Riyadi JZ13YJD,"*Lihat Videonya* 
  https://youtu.be/D1N34eRVkqM  
 Download dan *dapatkan 350,000* KOIN dengan kode saya WD06618 atau klik  https://koinworks.onelink.me/LgVI/87291a50 
KoinWorks *terdaftar dan diawasi oleh OJK*","['https://youtu.be/D1N34eRVkqM', 'https://koinworks.onelink.me/LgVI/87291a50']",0,0,[],417a02b9-aff5-44d1-aa02-7817b6515cc0
22,22,2020-08-06,gofoodindonesia,GoFood Indonesia,"SEMPAT KAGET DENGAN BERITA IBU SISCA GANTUNG PANCI? MENGEJUTKAN BUKAN?

Simak videonya sampai habis, ada yang mau ibu Sisca sampaikan buat GoFoodies semuanya 🥰

BAGAIMANA GOFOODIES, MERIAH BUKAN? tut tuturut turut turuturut tururut turuturut tururututut~ #Foodiskon pic.twitter.com/34f0eolEm2",[],5152,13186,['#foodiskon'],dd937910-c8d6-4b56-ab75-5964901acb58
23,23,2020-08-10,koinworks,KoinWorks,"Halo, Andi! Selamat mengeksplorasi😊
Jika ada informasi yang dibutuhkan bisa disampaikan melalui email ke support@koinworks.com yaa.",[],0,0,[],b26a9468-e036-4c4b-acc8-88d668711346
24,24,2020-08-10,ireneisbaebae,💚❤REFERRAL HUNTER,Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 ATAU langsung klik :  https://koinworks.com/invite/a63694  ❤❤,['https://koinworks.com/invite/a63694'],0,0,[],628edc88-67aa-4b38-ad14-42bbe80f896a
25,25,2020-08-10,andifa,AndiFa,Mencoba untuk eksplorasi @koinworks. Karena sudah dalam lisensi dan pengawasan OJK (saya cek ke OJK). Masih ga paham how do they control the fund/loans kalau ada NPL misal. But im willing to put lil bit of fund there,[],0,0,[],eef212aa-e4ab-46b5-afc6-99f8b49de963
26,26,2020-08-10,beribowo,heh!!,"click  https://koinworks.onelink.me/LgVI/7dc79019 
KoinWorks is *registered and supervised by OJK* Indonesia Financial Service Authority",['https://koinworks.onelink.me/LgVI/7dc79019'],0,0,[],f3544e32-d56b-4b3a-a9bd-2641cd697da1
27,27,2020-08-10,beribowo,heh!!,"Hi, let me introduce you to *KoinWorks*, Indonesia First Super Financial App. Get *return up to 18% p.a* and *non-collateralized loan* in one single app. 
 
 *Click to watch video* 
  https://youtu.be/D1N34eRVkqM  
 
 Download and *Use my code RW94596 to get 350,000* KOIN or",['https://youtu.be/D1N34eRVkqM'],0,0,[],2f3cb105-bd01-411c-bf8d-7e20266efa18
28,28,2020-08-10,fernandagunsan,Fernanda Gunsan,mau tau dong pengalaman kalian kalo ada yang udah pernah pakai koinworks.. Terima kasih...,[],0,0,[],73d9c908-c12b-4e3c-b8a1-b02bb63b4d5d
29,29,2020-08-10,ireneisbaebae,💚❤REFERRAL HUNTER,P2P lending Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 ATAU langsung klik :  https://koinworks.com/invite/a63694  ❤❤,['https://koinworks.com/invite/a63694'],0,0,[],06371311-0989-4d75-83a1-2db638b5789f
30,30,2020-08-09,ireneisbaebae,💚❤REFERRAL HUNTER,Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 !! langsung klik :  https://koinworks.com/invite/a63694  ❤❤ #koinworks,['https://koinworks.com/invite/a63694'],0,0,['#koinworks'],af799862-2c4b-4611-8b9e-e886988a709b
31,31,2020-08-09,ireneisbaebae,💚❤REFERRAL HUNTER,Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 ATAU langsung klik :  https://koinworks.com/invite/a63694  ❤❤,['https://koinworks.com/invite/a63694'],0,0,[],dd6bdf70-8c7f-440b-b499-51e46f862b27
32,32,2020-08-09,dedisuparman87,Dedi Suparman,"Hi, ini KoinWorks Super Financial App pertama di Indonesia. Hasil Pendanaan *hingga 18% p.a* dan *pinjaman tanpa agunan* semua di 1 App. Download dan *dapatkan 350,000* KOIN dengan kode saya 04858 atau klik  https://koinworks.onelink.me/LgVI/1388c4f8 
KoinWorks *terdaftar dan diawasi oleh OJK*",['https://koinworks.onelink.me/LgVI/1388c4f8'],0,0,[],581aa1cd-fedf-4b0b-9c11-1882af0c03ed
33,33,2020-08-09,ireneisbaebae,💚❤REFERRAL HUNTER,P2P lending Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 ATAU langsung klik :  https://koinworks.com/invite/a63694  ❤❤,['https://koinworks.com/invite/a63694'],0,0,[],3a2c6997-efd1-4b2b-a06e-279ef5d03d5d
34,34,2020-08-09,eleazhar_p,EP,"Realita ""berinvestasi"" di P2P lending memang pahit, terutama sbg lender. Easy way to make money buat kalian kan ya, @koinworks ? Duit lender yg nyangkut, malah ga jelas apa kalian tagih atau nggak ke non-performing borrower.  https://twitter.com/laywookcom/status/1289885003065593856 …",['https://twitter.com/laywookcom/status/1289885003065593856'],0,1,[],959aca8b-77cc-4b6a-b2ed-968d7ef1c516
35,35,2020-08-09,subhi_darajat,subhi darajat,"I've been trying KoinWorks for many years, and it is excellent for investing, because we get more significant profits from the bank, but not choke borrowers...

Get Special Bonus Join 350K for your first investment...
 https://subhidarajat.desainpedia.com/recommendations/fintech/koinworks …
#baliinvestment #indonesiainvestment",['https://subhidarajat.desainpedia.com/recommendations/fintech/koinworks'],0,0,"['#baliinvestment', '#indonesiainvestment']",9440b878-bb76-432e-b4d0-432e2550d7b6
36,36,2020-08-09,ireneisbaebae,💚❤REFERRAL HUNTER,Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 !! langsung klik :  https://koinworks.com/invite/a63694  ❤❤ #koinworks,['https://koinworks.com/invite/a63694'],0,0,['#koinworks'],fb6785a6-e1a3-4a1b-826c-02225b38692e
37,37,2020-08-09,ireneisbaebae,💚❤REFERRAL HUNTER,Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 ATAU langsung klik :  https://koinworks.com/invite/a63694  ❤❤,['https://koinworks.com/invite/a63694'],0,0,[],98d52187-38a1-454e-8200-a62dd801aa90
38,38,2020-08-09,ireneisbaebae,💚❤REFERRAL HUNTER,P2P lending Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 ATAU langsung klik :  https://koinworks.com/invite/a63694  ❤❤,['https://koinworks.com/invite/a63694'],0,0,[],2ecb8d13-9a27-4e13-816d-298842c68851
39,39,2020-08-08,thedyluna,loons,"Hi, let me introduce you to *KoinWorks*, Indonesia First Super Financial App. Get *return up to 18% p.a* + *non-collateralized loan* in one single app. *Click to watch video*  https://youtu.be/D1N34eRVkqM  Download or click  https://koinworks.onelink.me/LgVI/943b3b65 ","['https://youtu.be/D1N34eRVkqM', 'https://koinworks.onelink.me/LgVI/943b3b65']",0,0,[],fc976572-1932-4086-9dc2-0e3275bbe203
40,40,2020-08-08,thedyluna,loons,"Hi, go check out KoinGold powered by KoinWorks, Super Financial App! You can find a complete solution in buy and sell digital gold, with minimum price Rp1000, no transaction fee*. It seems great, right?
Download now and get all the benefits:  https://koinworks.onelink.me/LgVI/koingold ",['https://koinworks.onelink.me/LgVI/koingold'],0,0,[],85f38ee2-38bc-4c2b-b3da-48621466455f
41,41,2020-08-08,bobbyzz33,booby x,"Hi, let me introduce you to *KoinWorks*, Indonesia First Super Financial App. Get *return up to 18% p.a* and *non-collateralized loan* in one single app. 
 
 *Click to watch video* 
  https://youtu.be/D1N34eRVkqM  
 
 Download and *Use my code SN44812 to get",['https://youtu.be/D1N34eRVkqM'],0,0,[],01b80766-75fd-4fcc-aa03-b192140081ab
42,42,2020-08-08,ireneisbaebae,💚❤REFERRAL HUNTER,P2P lending Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 ATAU langsung klik :  https://koinworks.com/invite/a63694  ❤❤,['https://koinworks.com/invite/a63694'],0,0,[],4d980ab3-3402-4d49-9118-2e8a1ea29639
43,43,2020-01-09,danielchayau,Author,"Check out Audio Book Elven Magic on Audible, amazon pay $75 for every bounty(have to be a member for 91 days consecutively) . https://www.audible.com/pd/B078WHKMN3/?source_code=AUDFPWS0223189MWT-BK-ACX0-105123&ref=acx_bty_BK_ACX0_105123_rh_us …",['https://www.audible.com/pd/B078WHKMN3/?source_code=AUDFPWS0223189MWT-BK-ACX0-105123&ref=acx_bty_BK_ACX0_105123_rh_us'],28,107,[],249f91dd-6574-4032-8163-9773f88308aa
44,44,2020-08-08,ism4ilsiregar,ismail siregar,"Rekomendasi Buku Wajib Untuk Investor Pemula, Yuk Baca Selamra Karantina  https://koinworks.com/blog/buku-investasi-terbaik-untuk-investor-pemula/ … lewat @koinworks",['https://koinworks.com/blog/buku-investasi-terbaik-untuk-investor-pemula/'],0,0,[],91d89d57-dd4a-47c8-becb-107ba3c98284
45,45,2020-08-08,ireneisbaebae,💚❤REFERRAL HUNTER,Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 ATAU langsung klik :  https://koinworks.com/invite/a63694  ❤❤,['https://koinworks.com/invite/a63694'],0,0,[],b8916a2b-6fbf-4c44-b184-d6c6ae414253
46,46,2020-08-08,ireneisbaebae,💚❤REFERRAL HUNTER,Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 ATAU langsung klik :  https://koinworks.com/invite/a63694  ❤❤,['https://koinworks.com/invite/a63694'],0,0,[],cd112bf3-013e-477c-b58c-1b03f9bcaca8
47,47,2020-08-08,breyopo,Name Can't be Blank,Sudah saya DM ya silakan dicek.,[],0,0,[],3a8e9136-78dc-48ba-8194-48c10e057d0d
48,48,2020-08-08,ireneisbaebae,💚❤REFERRAL HUNTER,Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 !! langsung klik :  https://koinworks.com/invite/a63694  ❤❤ #koinworks,['https://koinworks.com/invite/a63694'],0,0,['#koinworks'],ad7a6c84-5eb0-46f1-a23c-a9a6df55595e
49,49,2020-08-08,ireneisbaebae,💚❤REFERRAL HUNTER,P2P lending Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 ATAU langsung klik :  https://koinworks.com/invite/a63694  ❤❤,['https://koinworks.com/invite/a63694'],0,0,[],5027e593-2cc2-4fd1-a59f-a00367f1d4bc
50,50,2020-08-07,ireneisbaebae,💚❤REFERRAL HUNTER,Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 ATAU langsung klik :  https://koinworks.com/invite/a63694  ❤❤,['https://koinworks.com/invite/a63694'],0,0,[],6aed514e-23d6-483e-ac80-f44b8ec49286
51,51,2020-08-07,koinworks,KoinWorks,Hai Bambang! Informasinya sudah Miko Dm ya! Yuk dicek DM kamu.,[],0,0,[],b8ef3345-263c-4092-a70d-50c7a8b935ab
52,52,2020-08-07,bangbingbung,Bambang Adhi,"@koinworks min saya mau withdrawal tapi salah masukin norek, nah caranya ganti noreknya gimana ya",[],0,0,[],be1f9c26-729b-4bc0-a56a-e05acd2c996a
53,53,2020-08-07,wuryani37136951,Wuryani,"Download and *Use my code WY03421 to get 350,000* KOIN or click  https://koinworks.onelink.me/LgVI/56e15caf 
KoinWorks is *registered and supervised by OJK* Indonesia Financial Service Authority",['https://koinworks.onelink.me/LgVI/56e15caf'],0,0,[],831632d2-38fa-4e4f-9ff8-4caf7f6ce603
54,54,2020-08-07,wuryani37136951,Wuryani,"Hi, let me introduce you to *KoinWorks*, Indonesia First Super Financial App. Get *return up to 18% p.a* and *non-collateralized loan* in one single app. 
 
 *Click to watch video* 
  https://youtu.be/D1N34eRVkqM ",['https://youtu.be/D1N34eRVkqM'],0,0,[],d768a105-08df-4041-ba1d-2453f9f9482d
55,55,2020-08-07,ireneisbaebae,💚❤REFERRAL HUNTER,Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 !! langsung klik :  https://koinworks.com/invite/a63694  ❤❤ #koinworks,['https://koinworks.com/invite/a63694'],0,0,['#koinworks'],36162aa9-e2bd-4afb-a3d9-67ba0514a480
56,56,2020-08-07,koinworks,KoinWorks,Halo! Perihal tersebut boleh infokan alamat email kamu yang terdaftar dulu ya melalui DM.,[],0,0,[],fb5d7df2-2839-472b-88aa-2bd92e4a5527
57,57,2020-08-07,breyopo,Name Can't be Blank,Karena saya tertarik utk mulai invest di KoinWorks. Tks sblmnya.,[],0,0,[],9e7f28b1-f4c6-4389-bea2-c86532633f31
58,58,2020-08-07,breyopo,Name Can't be Blank,"@koinworks Halo, KoinWorks! Saya dapat free koin 350.000 dr Grab. 
Yg jadi pertanyaan saya, utk apa saja koin tsb dpt digunakan?  pic.twitter.com/SIPNPN6yQ4",[],0,0,[],35d564bf-cb1d-44d9-8fa2-3faf717892f7
59,59,2020-08-07,ireneisbaebae,💚❤REFERRAL HUNTER,P2P lending Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 ATAU langsung klik :  https://koinworks.com/invite/a63694  ❤❤,['https://koinworks.com/invite/a63694'],0,0,[],6a098fd8-bc6a-4677-b0e5-ed9bbdffe2ca
60,60,2020-08-07,ireneisbaebae,💚❤REFERRAL HUNTER,Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 ATAU langsung klik :  https://koinworks.com/invite/a63694  ❤❤,['https://koinworks.com/invite/a63694'],0,0,[],9bfec118-0f33-4aaf-a071-2383b59433a1
61,61,2020-08-07,ireneisbaebae,💚❤REFERRAL HUNTER,Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 ATAU langsung klik :  https://koinworks.com/invite/a63694  ❤❤,['https://koinworks.com/invite/a63694'],0,0,[],ab98999f-3d7e-4e67-9bc8-68aa1a6a6fac
62,62,2020-08-07,ireneisbaebae,💚❤REFERRAL HUNTER,P2P lending Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 ATAU langsung klik :  https://koinworks.com/invite/a63694  ❤❤,['https://koinworks.com/invite/a63694'],0,0,[],3480886a-4709-4180-a0e8-38fa801a82d6
63,63,2020-08-06,oline_bmi,Caroline Adenan,"Mau coba invest di Investree, Koinworks and Pluang deh. Ntar kalau udah coba invest pengen nulis pengalamannya gimana.",[],0,0,[],99902378-9b2a-43a3-8f14-e730b8931cd8
64,64,2020-01-09,danielchayau,Author,"Check out Audio Book Elven Magic on Audible, amazon pay $75 for every bounty(have to be a member for 91 days consecutively) . https://www.audible.com/pd/B078WHKMN3/?source_code=AUDFPWS0223189MWT-BK-ACX0-105123&ref=acx_bty_BK_ACX0_105123_rh_us …",['https://www.audible.com/pd/B078WHKMN3/?source_code=AUDFPWS0223189MWT-BK-ACX0-105123&ref=acx_bty_BK_ACX0_105123_rh_us'],28,107,[],e29eceb3-5670-433f-8e92-fed80a843770
65,65,2020-08-06,ireneisbaebae,💚❤REFERRAL HUNTER,Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 !! langsung klik :  https://koinworks.com/invite/a63694  ❤❤ #koinworks,['https://koinworks.com/invite/a63694'],0,0,['#koinworks'],e144ef2b-cc53-4234-b740-7f86ada7f4eb
66,66,2020-08-06,ireneisbaebae,💚❤REFERRAL HUNTER,Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 ATAU langsung klik :  https://koinworks.com/invite/a63694  ❤❤,['https://koinworks.com/invite/a63694'],0,0,[],d1ca58e5-22fe-4bda-bcc1-481650e9e026
67,67,2020-08-06,koinworks,KoinWorks,"Waspada ya temen-temen semuanyaa!
Kalau mau investasi atau mendanai cobain pake KoinWorks yuk, mulai dari P2P Lending sampe ke tabungan emas semuanya adaaa 😉

Daftar pake kode promo: MAKINCUAN biar kamu bisa dapetin 350ribu koin",[],0,2,[],7720bf39-7571-49cd-a0d5-29911b051b37
68,68,2020-08-06,pacmannai,Follow us on instagram: @pacmannai,bisa dicicil kok mas di Koinworks,[],0,0,[],76b03f14-d2eb-4d0a-bd46-62a5d155b074
69,69,2020-08-06,cepatlulusid,Cepat Lulus ID,"Share ke teman-teman kalian yang sedang membutuhkan info ini supaya kita bisa #CerdasBersama #CepatLulusID

Source: Koinworks
#investasi #covid19 #investasisaatpandemi #strategiinvestasi pic.twitter.com/oVhI21zQJU",[],0,0,"['#cerdasbersama', '#cepatlulusid', '#investasi', '#covid19', '#investasisaatpandemi', '#strategiinvestasi']",c1b8625d-ccf6-4757-ba90-10c381796b88
70,70,2020-08-06,ireneisbaebae,💚❤REFERRAL HUNTER,Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 !! langsung klik :  https://koinworks.com/invite/a63694  ❤❤ #koinworks,['https://koinworks.com/invite/a63694'],0,0,['#koinworks'],39b592c0-b592-47da-82ab-32740e43c269
71,71,2020-08-06,ireneisbaebae,💚❤REFERRAL HUNTER,P2P lending Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 ATAU langsung klik :  https://koinworks.com/invite/a63694  ❤❤,['https://koinworks.com/invite/a63694'],0,0,[],aab373bc-c7eb-45af-aa17-ee4c91f796dd
72,72,2020-08-06,ireneisbaebae,💚❤REFERRAL HUNTER,Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 ATAU langsung klik :  https://koinworks.com/invite/a63694  ❤❤,['https://koinworks.com/invite/a63694'],0,0,[],3eb4271e-62e5-4a65-9053-e58b4583092c
73,73,2020-08-05,chinmaykothekar,Chinmay Kothekar,Awesome stuff @adityachintawar !,[],0,3,[],78bf8990-d52b-417b-b6cb-b3d3c230b2d5
74,74,2020-08-05,mickhae54541181,Mickhael,KoinWorks Super Finansial App adalah partner paling super yang pernah aku punya. Di sini semuanya super mudah dan menguntungkan. Klik link ini untuk dapatin 350rb KOIN atau bunga pinjaman yang rendah  https://koinworks.onelink.me/LgVI/5a40fd03 ,['https://koinworks.onelink.me/LgVI/5a40fd03'],0,0,[],f168d1c3-31a5-472c-a296-5c311da49221
75,75,2020-08-05,glasgowsoul,Pep,"Emas. Bagus kok yg di pegadaian. Skrg byk juga yg ky gt, beli emas digital, ada di Toped ato app Pegadaian lgsg, Koinworks, Dana. Nanti kalo udah nyampe brp gram bisa dicetak.",[],0,1,[],0f3b7f1f-8841-4f7e-8bb4-6dbefa28b181
76,76,2020-08-05,ireneisbaebae,💚❤REFERRAL HUNTER,Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 !! langsung klik :  https://koinworks.com/invite/a63694  ❤❤ #koinworks,['https://koinworks.com/invite/a63694'],0,0,['#koinworks'],4eb3ade0-2700-493f-b92f-1a4917c6084e
77,77,2020-08-05,tanayas11,Tanaya,"Insightful panel discussion today @sc0ttpugh. Great to hear perspectives of Product, Growth and Digital leaders from @Zilingo @ONEChampionship @koinworks 🙌 #mixpanel https://twitter.com/moengage/status/1290908997281656839 …",['https://twitter.com/moengage/status/1290908997281656839'],0,5,['#mixpanel'],8694235c-c2e7-4d11-b6b3-00c722c01629
78,78,2020-08-05,ireneisbaebae,💚❤REFERRAL HUNTER,P2P lending Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 ATAU langsung klik :  https://koinworks.com/invite/a63694  ❤❤,['https://koinworks.com/invite/a63694'],0,0,[],b5b7f755-7c09-4435-b742-edb35006181c
79,79,2020-08-05,ameya7s,Ameya Sawant,"✅ Be on a panel

Yours truly and
@sc0ttpugh from @mixpanel
@adityachintawar from @koinworks
Kushal Manupati from @Zilingo
on GrowthAsia2020 https://twitter.com/moengage/status/1290915585501491200 …",['https://twitter.com/moengage/status/1290915585501491200'],1,12,[],32561a3a-945a-4b7e-af31-7f91400c9705
80,80,2020-08-05,jigar_jadav12,Jigar Jadav,"#GROWTHAsia2020 summit. 
“Aligning Product and Marketing for Better CX” featuring 
Ameya Sawant (@ONEChampionship), Aditya Chintawa (@koinworks), & Kushal Manupati (@Zilingo)
Moderated by Scott Pugh from @mixpanel.

Join live  https://bit.ly/3hH0dUZ   pic.twitter.com/E0dYLzmx66 pic.twitter.com/fD8Nh9Xa2B",['https://bit.ly/3hH0dUZ'],0,2,['#growthasia2020'],20cc4009-b240-40a7-9989-48e271128635
