index,date,username,name,tweet,urls,retweets_count,likes_count,hashtags,cleaned,flair_dataset,is_ref
3477,2020-01-26,aanugrah_,ΔLVIN,"Hi, ini KoinWorks Super Financial App pertama di Indonesia. Hasil Pendanaan *hingga 18% p.a*
 
 *Lihat Videonya* 
  https://youtu.be/1AHNVeiG4NE  
 
 Download dan *dapatkan 350,000* KOIN dengan kode saya 86272 atau klik  https://koinworks.onelink.me/LgVI/b3a0ba2e 
KoinWorks *terdaftar dan diawasi oleh OJK*","['https://youtu.be/1AHNVeiG4NE', 'https://koinworks.onelink.me/LgVI/b3a0ba2e']",0,1,[],super financial indonesia hasil pendanaan p a lihat videonya be 1ahnveig4ne dapatkan koin kode klik onelink me lgvi b3a0ba2e terdaftar diawasi ojk,hi ini koinworks super financial app pertama di indonesia hasil pendanaan hingga p a lihat videonya https youtu be 1ahnveig4ne download dan dapatkan koin dengan kode saya atau klik https koinworks onelink me lgvi b3a0ba2e koinworks terdaftar dan diawasi oleh ojk,False
3479,2020-01-26,ariesarcha,ferthee,"Hey, I give you 50.000 worth investment in KoinWorks. Lets join! Detail  https://ift.tt/2X2uXFj  #InvestasiuntukNegri #Indonesia #Invest",['https://ift.tt/2X2uXFj'],0,0,"['#investasiuntuknegri', '#indonesia', '#invest']",hey i give you worth investment in lets join detail ift tt 2x2uxfj investasiuntuknegri indonesia invest,hey i give you worth investment in koinworks lets join detail https ift tt 2x2uxfj investasiuntuknegri indonesia invest,False
3480,2020-01-26,decalkookmanie,아미🌈พีรญา,Gua dulu sempet ikutan koinworks. Cuma sempet berhenti krn satu hal. Trus kemarenan sempet liat ada yg rekomendasi bibit. Keknya patut dicoba,[],0,0,[],gua sempet ikutan sempet berhenti krn trus kemarenan sempet liat ada rekomendasi bibit keknya patut dicoba,gua dulu sempet ikutan koinworks cuma sempet berhenti krn satu hal trus kemarenan sempet liat ada yg rekomendasi bibit keknya patut dicoba,False
3483,2020-01-25,qelarama,Qela Rama,"Buruan 
Hi, ini KoinWorks Super Financial App pertama di Indonesia. Hasil Pendanaan *hingga 18% p.a* dan *pinjaman tanpa agunan* semua di 1 App. 
 
 *Lihat Videonya* 
  https://youtu.be/1AHNVeiG4NE  
 
 Download dan *dapatkan 350,000* KOIN dengan kode saya 04635",['https://youtu.be/1AHNVeiG4NE'],0,0,[],buruan super financial indonesia hasil pendanaan p a pinjaman agunan lihat videonya be 1ahnveig4ne dapatkan koin kode,buruan hi ini koinworks super financial app pertama di indonesia hasil pendanaan hingga p a dan pinjaman tanpa agunan semua di app lihat videonya https youtu be 1ahnveig4ne download dan dapatkan koin dengan kode saya,False
3485,2020-01-25,adam_ghazali,Adam Achmad Ghazali,"@koinworks min, ko website gk bisa di buka ""504 Gateway Time-out"" ?",[],0,0,[],min ko website gk bisa buka gateway time out,koinworks min ko website gk bisa di buka gateway time out,False
3486,2020-01-25,hairangerpink,👩🏻‍🎤RangerPink,"Btw ini gak apple to apple comparissonnya. 

Deposito kan product Bank, koinworks itu fintech dg karakteristik yg sangat2 beda dg deposito. Tentu tidak ada penjaminan juga disana.

Lah ada logo OJK nya pula. 😔😔😔😔

High risk, High return. Udah percaya itu aja.",[],1,3,[],btw gak apple to apple comparissonnya deposito product bank fintech dg karakteristik sangat2 beda dg deposito ada penjaminan disana ada logo ojk nya high risk high return udah percaya,btw ini gak apple to apple comparissonnya deposito kan product bank koinworks itu fintech dg karakteristik yg sangat2 beda dg deposito tentu tidak ada penjaminan juga disana lah ada logo ojk nya pula high risk high return udah percaya itu aja,False
3491,2020-01-25,ariesarcha,ferthee,"Hey, I give you 50.000 worth investment in KoinWorks. Lets join! Detail  https://ift.tt/2X2uXFj  #InvestasiuntukNegri #Indonesia #Invest",['https://ift.tt/2X2uXFj'],0,0,"['#investasiuntuknegri', '#indonesia', '#invest']",hey i give you worth investment in lets join detail ift tt 2x2uxfj investasiuntuknegri indonesia invest,hey i give you worth investment in koinworks lets join detail https ift tt 2x2uxfj investasiuntuknegri indonesia invest,False
3492,2020-01-25,cuuppyy,yours,"Link report di aplikasi juga malah kekirimnya ke suppport@koinworks.com jd delivery failed lah... Triple p lho...

Kok jd Makin aneh koinworks skrg? Plz fix it",[],0,0,[],link report aplikasi kekirimnya suppport jd delivery failed triple p lho jd aneh skrg plz fix it,link report di aplikasi juga malah kekirimnya ke suppport koinworks com jd delivery failed lah triple p lho kok jd makin aneh koinworks skrg plz fix it,False
3493,2020-01-25,cuuppyy,yours,Pagi2 iseng buka aplikasi @koinworks kaget portfolio gw kok berkurang pdhl ga ngelakuin apa2. Fix it pls. Gw jd kurang nyaman sebulanan terakhir dengan update2 yg bikin outstanding portfolio yg naek turun ga jelas.,[],0,0,[],pagi2 iseng buka aplikasi kaget portfolio gw berkurang pdhl ga ngelakuin apa2 fix it pls gw jd nyaman sebulanan update2 bikin outstanding portfolio naek turun ga,pagi2 iseng buka aplikasi koinworks kaget portfolio gw kok berkurang pdhl ga ngelakuin apa2 fix it pls gw jd kurang nyaman sebulanan terakhir dengan update2 yg bikin outstanding portfolio yg naek turun ga jelas,False
3495,2020-01-25,panggihsusilo,punkgieh87,"Hi, ini KoinWorks Super Financial App pertama di Indonesia. Hasil Pendanaan *hingga 18% p.a* dan *pinjaman tanpa agunan* semua di 1 App
 Download dan *dapatkan 350,000* KOIN dengan kode saya PG19112 atau klik  https://koinworks.onelink.me/LgVI/8c66a7a0 
KoinWorks *terdaftar dan diawasi oleh OJK*",['https://koinworks.onelink.me/LgVI/8c66a7a0'],0,0,[],super financial indonesia hasil pendanaan p a pinjaman agunan dapatkan koin kode pg19112 klik onelink me lgvi 8c66a7a0 terdaftar diawasi ojk,hi ini koinworks super financial app pertama di indonesia hasil pendanaan hingga p a dan pinjaman tanpa agunan semua di app download dan dapatkan koin dengan kode saya pg19112 atau klik https koinworks onelink me lgvi 8c66a7a0 koinworks terdaftar dan diawasi oleh ojk,False
3496,2020-01-24,rakaryanto,😡,Ga salah salah banget kalo menilai non performing loan koinworks cuma 1 koma sekian persen 🙃,[],0,0,[],ga salah salah kalo menilai non performing loan koma sekian persen,ga salah salah banget kalo menilai non performing loan koinworks cuma koma sekian persen,False
3498,2020-01-24,waniqbal,Famous General,"koinworks pernah, return oke sesuai standard. Mostly pada sesuai portofolio resiko. Yang grade A-B selalu bisa bayar.",[],0,0,[],return oke sesuai standard mostly sesuai portofolio resiko grade a b bisa bayar,koinworks pernah return oke sesuai standard mostly pada sesuai portofolio resiko yang grade a b selalu bisa bayar,False
3499,2020-01-24,edoazhara,EA,"Koinworks tida pernah gagal bayar selama 2 tahun ini, sampe ada kemarin bulan November edu loan gagal bayar. Yg dipake modal dagang sejauh ini aman...",[],1,0,[],tida gagal bayar sampe ada kemarin november edu loan gagal bayar dipake modal dagang aman,koinworks tida pernah gagal bayar selama tahun ini sampe ada kemarin bulan november edu loan gagal bayar yg dipake modal dagang sejauh ini aman,False
3500,2020-01-24,wrahmada,Wientor Rah Mada⚡,Ada yang punya pengalaman jadi pendana di Koinworks atau Investree gak? Honest review is appreciated 🙏🙏,[],0,1,[],ada pengalaman pendana investree gak honest review is appreciated,ada yang punya pengalaman jadi pendana di koinworks atau investree gak honest review is appreciated,False
3502,2020-01-24,eleazhar_p,EP,"Pulsa? Saham? Ah yang benar kamu, @koinworks . Review asli dan jujur kah ini? 🤣🤣🤣  pic.twitter.com/fXRALWRekX",[],0,0,[],pulsa saham ah review asli jujur kah fxralwrekx,pulsa saham ah yang benar kamu koinworks review asli dan jujur kah ini pic twitter com fxralwrekx,False
3503,2020-01-24,eleazhar_p,EP,"Proses kerja mereka & NPL-nya mengerikan. Sudah 3 minggu ini ribut terus dengan admin @koinworks di IG, Twitter, Whatsapp, dan e-mail. Tak akan pernah lagi berinvestasi di sini.  https://twitter.com/catuaries/status/1220618184790724608 …",['https://twitter.com/catuaries/status/1220618184790724608'],0,0,[],proses kerja npl nya mengerikan sudah minggu ribut admin whatsapp e mail berinvestasi catuaries status ...,proses kerja mereka npl nya mengerikan sudah minggu ini ribut terus dengan admin koinworks di ig twitter whatsapp dan e mail tak akan pernah lagi berinvestasi di sini https twitter com catuaries status ...,False
3504,2020-01-24,siarnews,Siar,"Tiga Produk Baru Financial Solution Yang DiTawarkan KoinWork dalam Platformnya

 http://Siar.Com , Jakarta -- Mengawali tahun 2020 ini KoinWorks menambahkan tiga produk terbarunya

#creativeindustries
#startup
#financial
#fintech 

Go to Link :  https://siar.com/tiga-produk-baru-financial-solution-yang-ditawarkan-koinwork-dalam-platformnya/ … pic.twitter.com/icmitHHKi3","['http://Siar.Com', 'https://siar.com/tiga-produk-baru-financial-solution-yang-ditawarkan-koinwork-dalam-platformnya/']",0,0,"['#creativeindustries', '#startup', '#financial', '#fintech']",produk financial solution ditawarkan koinwork platformnya siar jakarta mengawali produk terbarunya creativeindustries startup financial fintech go to link siar produk financial solution ditawarkan koinwork platformnya ... icmithhki3,tiga produk baru financial solution yang ditawarkan koinwork dalam platformnya http siar com jakarta mengawali tahun ini koinworks menambahkan tiga produk terbarunya creativeindustries startup financial fintech go to link https siar com tiga produk baru financial solution yang ditawarkan koinwork dalam platformnya ... pic twitter com icmithhki3,False
3505,2020-01-24,edoazhara,EA,NPLnya ninuninu nih koinworks,[],0,0,[],nplnya ninuninu nih,nplnya ninuninu nih koinworks,False
3508,2020-01-24,romiiskndrp,RIP.,Koinworks ini termasuk platform P2P Lending ya ?,[],0,0,[],platform p2p lending ya,koinworks ini termasuk platform p2p lending ya,False
3509,2020-01-24,mnews_id,M-News,"Portal Berita UMKM  http://MNEWS.co.id  - @KoinWorks Gandeng Kemenkop UKM untuk Bantu UMKM 

 http://mnews.co.id/read/fokus/koinwork-gandeng-kemenkop-ukm-untuk-bantu-umkm-dalam-keuangan …","['http://MNEWS.co.id', 'http://mnews.co.id/read/fokus/koinwork-gandeng-kemenkop-ukm-untuk-bantu-umkm-dalam-keuangan']",0,0,[],portal berita umkm mnews co id gandeng kemenkop ukm bantu umkm mnews co id read fokus koinwork gandeng kemenkop ukm bantu umkm keuangan ...,portal berita umkm http mnews co id koinworks gandeng kemenkop ukm untuk bantu umkm http mnews co id read fokus koinwork gandeng kemenkop ukm untuk bantu umkm dalam keuangan ...,False
3510,2020-08-06,gofoodindonesia,GoFood Indonesia,"SEMPAT KAGET DENGAN BERITA IBU SISCA GANTUNG PANCI? MENGEJUTKAN BUKAN?

Simak videonya sampai habis, ada yang mau ibu Sisca sampaikan buat GoFoodies semuanya 🥰

BAGAIMANA GOFOODIES, MERIAH BUKAN? tut tuturut turut turuturut tururut turuturut tururututut~ #Foodiskon pic.twitter.com/34f0eolEm2",[],5153,13190,['#foodiskon'],kaget berita sisca gantung panci mengejutkan simak videonya habis ada sisca gofoodies gofoodies meriah tut tuturut turuturut tururut turuturut tururututut foodiskon 34f0eolem2,sempat kaget dengan berita ibu sisca gantung panci mengejutkan bukan simak videonya sampai habis ada yang mau ibu sisca sampaikan buat gofoodies semuanya bagaimana gofoodies meriah bukan tut tuturut turut turuturut tururut turuturut tururututut foodiskon pic twitter com 34f0eolem2,False
3511,2020-01-24,ariessetiadi,Aries Setiadi,Fintech peer-to-peer lending KoinWorks partners with the Cooperatives and Small and Medium Enterprises Ministry to reach out to more SMEs and provide lending and mentoring on financing and investment. #financialinclusion https://jakartaglobe.id/business/koinworks-signs-deal-with-ministry-focuses-on-sme-lending …,['https://jakartaglobe.id/business/koinworks-signs-deal-with-ministry-focuses-on-sme-lending'],0,0,['#financialinclusion'],fintech peer to peer lending partners with the cooperatives and small and medium enterprises ministry to reach out to more smes and provide lending and mentoring on financing and investment financialinclusion jakartaglobe id business signs deal with ministry focuses on sme lending ...,fintech peer to peer lending koinworks partners with the cooperatives and small and medium enterprises ministry to reach out to more smes and provide lending and mentoring on financing and investment financialinclusion https jakartaglobe id business koinworks signs deal with ministry focuses on sme lending ...,False
3513,2020-01-24,ariesarcha,ferthee,"Hey, I give you 50.000 worth investment in KoinWorks. Lets join! Detail  https://ift.tt/2X2uXFj  #InvestasiuntukNegri #Indonesia #Invest",['https://ift.tt/2X2uXFj'],0,0,"['#investasiuntuknegri', '#indonesia', '#invest']",hey i give you worth investment in lets join detail ift tt 2x2uxfj investasiuntuknegri indonesia invest,hey i give you worth investment in koinworks lets join detail https ift tt 2x2uxfj investasiuntuknegri indonesia invest,False
3514,2020-01-24,kennethlxh,Kenneth Liu,"Koinworks - P2P lending Fintech platform in Indonesia (Aims to provide financing access to SMEs in Indo too, more than 70% of SMEs dont have financing access today)",[],0,0,[],p2p lending fintech platform in indonesia aims to provide financing access to smes in indo too more than of smes dont have financing access today,koinworks p2p lending fintech platform in indonesia aims to provide financing access to smes in indo too more than of smes dont have financing access today,False
3517,2020-01-24,visible_banking,Christophe Langlois 📊 #SonyZV1 📸,"KoinWorks CEO: The future of Indonesian fintech lies in automated, all-in…  http://dlvr.it/RNcyJ5  via @e27 #fintech #psd2 #openbanking pic.twitter.com/vusaZsfouO",['http://dlvr.it/RNcyJ5'],1,3,"['#fintech', '#psd2', '#openbanking']",ceo the future of indonesian fintech lies in automated all in... dlvr it rncyj5 via e27 fintech psd2 openbanking vusazsfouo,koinworks ceo the future of indonesian fintech lies in automated all in... http dlvr it rncyj5 via e27 fintech psd2 openbanking pic twitter com vusazsfouo,False
3519,2020-01-24,sagakom,Rachmad Rofik (Gus Fik),KoinWorks Kembangkan Layanan demi Memenuhi Kebutuhan Pelaku UMKM  https://gresikmenulis.com/blog/koinworks-kembangkan-layanan-demi-memenuhi-kebutuhan-pelaku-umkm/ … pic.twitter.com/RBfLy3gGfH,['https://gresikmenulis.com/blog/koinworks-kembangkan-layanan-demi-memenuhi-kebutuhan-pelaku-umkm/'],0,0,[],kembangkan layanan memenuhi kebutuhan pelaku umkm gresikmenulis blog kembangkan layanan memenuhi kebutuhan pelaku umkm ... rbfly3ggfh,koinworks kembangkan layanan demi memenuhi kebutuhan pelaku umkm https gresikmenulis com blog koinworks kembangkan layanan demi memenuhi kebutuhan pelaku umkm ... pic twitter com rbfly3ggfh,False
3520,2020-01-23,yamlikha,Fan yamlikha,"KoinWorks Kembangkan Layanan demi Memenuhi Kebutuhan Pelaku UMKM: Koinworks lakukan banyak hal, mulai dari merombak tampilan antarmuka aplikasi, mengintegrasikan machine learning, hingga menggandeng pemerintah. The post KoinWorks Kembangkan Layanan demi…  http://dlvr.it/RNcCgz  pic.twitter.com/MZZnOXvL6i",['http://dlvr.it/RNcCgz'],0,0,[],kembangkan layanan memenuhi kebutuhan pelaku umkm lakukan merombak tampilan antarmuka aplikasi mengintegrasikan machine learning menggandeng pemerintah the post kembangkan layanan ... dlvr it rnccgz mzznoxvl6i,koinworks kembangkan layanan demi memenuhi kebutuhan pelaku umkm koinworks lakukan banyak hal mulai dari merombak tampilan antarmuka aplikasi mengintegrasikan machine learning hingga menggandeng pemerintah the post koinworks kembangkan layanan demi... http dlvr it rnccgz pic twitter com mzznoxvl6i,False
3521,2020-01-23,envoapps,Envo Apps Developer,KoinWorks Kembangkan Layanan demi Memenuhi Kebutuhan Pelaku UMKM  http://dlvr.it/RNcBSg  pic.twitter.com/m1gqkPirOB,['http://dlvr.it/RNcBSg'],0,1,[],kembangkan layanan memenuhi kebutuhan pelaku umkm dlvr it rncbsg m1gqkpirob,koinworks kembangkan layanan demi memenuhi kebutuhan pelaku umkm http dlvr it rncbsg pic twitter com m1gqkpirob,False
3522,2020-01-23,e27co,e27: Asia tech news,"Benedicto Haryono, CEO of KoinWorks: ""We no longer differentiate the access for borrowers and lenders; they can access diverse financial needs in one platform.""  http://bit.ly/2TOObjH ",['http://bit.ly/2TOObjH'],1,1,[],benedicto haryono ceo of we no longer differentiate the access for borrowers and lenders they can access diverse financial needs in one platform bit ly 2toobjh,benedicto haryono ceo of koinworks we no longer differentiate the access for borrowers and lenders they can access diverse financial needs in one platform http bit ly 2toobjh,False
3523,2020-01-23,e27co,e27: Asia tech news,"Benedicto Haryono, CEO of KoinWorks: ""The initial idea of the new evolution was to design a multifunction app that serves purposes of lending, borrowing and investment alternatives.""  http://bit.ly/2tMzfb8 ",['http://bit.ly/2tMzfb8'],0,1,[],benedicto haryono ceo of the initial idea of the new evolution was to design a multifunction that serves purposes of lending borrowing and investment alternatives bit ly 2tmzfb8,benedicto haryono ceo of koinworks the initial idea of the new evolution was to design a multifunction app that serves purposes of lending borrowing and investment alternatives http bit ly 2tmzfb8,False
3525,2020-01-23,8020es,http://80-20.es,"📡 🚀Indonesian financial app KoinWorks taps Goodstuph, runs brazen ads across town 💡 #ZirigozaGroup #e-commerce #marketing #ENKIL.es #8020 🔔  https://buff.ly/2NT47xL ",['https://buff.ly/2NT47xL'],0,0,"['#zirigozagroup', '#e', '#marketing', '#enkil']",indonesian financial taps goodstuph runs brazen ads across town zirigozagroup e commerce marketing enkil es buff ly 2nt47xl,indonesian financial app koinworks taps goodstuph runs brazen ads across town zirigozagroup e commerce marketing enkil es https buff ly 2nt47xl,False
3526,2020-01-23,e27co,e27: Asia tech news,KoinWorks aims to bring its existing products one step further by introducing what it called a “Super Financial App” in the near future.  http://bit.ly/38z2TzC ,['http://bit.ly/38z2TzC'],0,0,[],"aims to bring its existing products one step further by introducing what it called a ""super financial "" in the near future bit ly 38z2tzc","koinworks aims to bring its existing products one step further by introducing what it called a ""super financial app"" in the near future http bit ly 38z2tzc",False
3527,2020-01-23,fxsandikur86,Bitalgo.Business.Site,"Hi, ini KoinWorks Super Financial App pertama di Indonesia. Hasil Pendanaan *hingga 18% p.a* dan *pinjaman tanpa agunan* semua di 1 App. 
 
 *Lihat Videonya* 
  https://youtu.be/1AHNVeiG4NE  
 
klik  https://koinworks.onelink.me/LgVI/ffd025f4 
KoinWorks *terdaftar dan diawasi oleh OJK*","['https://youtu.be/1AHNVeiG4NE', 'https://koinworks.onelink.me/LgVI/ffd025f4']",0,0,[],super financial indonesia hasil pendanaan p a pinjaman agunan lihat videonya be 1ahnveig4ne klik onelink me lgvi ffd025f4 terdaftar diawasi ojk,hi ini koinworks super financial app pertama di indonesia hasil pendanaan hingga p a dan pinjaman tanpa agunan semua di app lihat videonya https youtu be 1ahnveig4ne klik https koinworks onelink me lgvi ffd025f4 koinworks terdaftar dan diawasi oleh ojk,False
3533,2020-01-23,tarmadi123,Tarmadi,"Unduh dan dapatkan semua kemudahan dalam genggaman  https://koinworks.onelink.me/LgVI/667989f9 
*KoinWorks terdaftar dan diawasi oleh OJK*
Pemenang 2019 The Asian Banker Financial di Indonesia (Kategori : Pinjaman)
Lama Pinjaman hingga 24 bulan
Suku bunga mulai 0,75% per bulan
Tanpa jaminan",['https://koinworks.onelink.me/LgVI/667989f9'],0,0,[],unduh dapatkan kemudahan genggaman onelink me lgvi 667989f9 terdaftar diawasi ojk pemenang the asian banker financial indonesia kategori pinjaman pinjaman suku bunga jaminan,unduh dan dapatkan semua kemudahan dalam genggaman https koinworks onelink me lgvi 667989f9 koinworks terdaftar dan diawasi oleh ojk pemenang the asian banker financial di indonesia kategori pinjaman lama pinjaman hingga bulan suku bunga mulai per bulan tanpa jaminan,False
3534,2020-01-23,kmneyecare,kmneyecare,"Selain bekerjasama dengan berbagai asuransi, kami juga telah bekerjasama dengan berbagai perusahaan, rumah sakit dan bank/financial technology. 

#BankExim #BankBTN #BukitAsam #OmniHospital #Antammedika #BCAPrioritas #Solitaire #KoinWorks #KMNEyeCare #RumahSakitMata pic.twitter.com/UifFdD4ouU",[],0,0,"['#bankexim', '#bankbtn', '#bukitasam', '#omnihospital', '#antammedika', '#bcaprioritas', '#solitaire', '#koinworks', '#kmneyecare', '#rumahsakitmata']",bekerjasama asuransi bekerjasama perusahaan rumah sakit bank financial technology bankexim bankbtn bukitasam omnihospital antammedika bcaprioritas solitaire kmneyecare rumahsakitmata uiffdd4ouu,selain bekerjasama dengan berbagai asuransi kami juga telah bekerjasama dengan berbagai perusahaan rumah sakit dan bank financial technology bankexim bankbtn bukitasam omnihospital antammedika bcaprioritas solitaire koinworks kmneyecare rumahsakitmata pic twitter com uiffdd4ouu,False
3536,2020-01-23,republikaonline,Republika.co.id,"Membuka tahun 2020, KoinWorks  memperbarui aplikasi yang berevolusi menjadi platform penyedia multi-layanan keuangan, Super Financial App. Pada inovasinya kini,  tampilan aplikasi dimodernisasi  disesuaikan dengan target pasar...  http://republika.co.id/berita/ekonomi/korporasi/20/01/23/q4jk4v31044946221000-koinworks-berevolusi-jadi-aplikasi-multi-layanan-keuangan …",['http://republika.co.id/berita/ekonomi/korporasi/20/01/23/q4jk4v31044946221000-koinworks-berevolusi-jadi-aplikasi-multi-layanan-keuangan'],1,2,[],membuka memperbarui aplikasi berevolusi platform penyedia multi layanan keuangan super financial inovasinya tampilan aplikasi dimodernisasi disesuaikan target pasar republika co id berita ekonomi korporasi q4jk4v31044946221000 berevolusi aplikasi multi layanan keuangan ...,membuka tahun koinworks memperbarui aplikasi yang berevolusi menjadi platform penyedia multi layanan keuangan super financial app pada inovasinya kini tampilan aplikasi dimodernisasi disesuaikan dengan target pasar http republika co id berita ekonomi korporasi q4jk4v31044946221000 koinworks berevolusi jadi aplikasi multi layanan keuangan ...,False
3538,2020-01-23,tioyes88,Slamet Septiono,@koinworks dm 🤪🤪🤪,[],0,0,[],dm,koinworks dm,False
